		total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	
new_deaths_per_million	550568.857	3863.702	3801.759	10962.784	76.129	67.661	6691.368	55.548	53.736	112.930	0.881	0.020	78.721	2.013	504.194	19.247	0.279	0.052	5.411	0.486	10443.377	1716270.038	58.877	0.422	11043.666	0.417	0.000	-3.518	140289.904	85872.323	16246.801	7471.795	7828.266	0.172	0.116	0.025	95.587	2.652	-73317847.929	-23.241	-0.622	-0.455	-0.342	-1428.736	1.255	15.477	0.223	-0.320	-0.524	1.277	-0.105	0.693	0.001	
new_deaths_smoothed_per_million	628309.266	4153.396	4249.193	12512.831	77.842	77.477	7650.851	58.811	59.978	129.387	1.009	0.011	87.781	2.230	558.916	21.356	1.925	0.167	32.976	1.654	11005.361	1927642.307	66.065	0.442	12278.044	0.468	0.000	-3.742	163397.428	100257.002	19354.277	8270.343	9123.238	0.200	0.134	0.029	110.759	2.809	-80806172.521	-26.104	-0.703	-0.512	-0.384	-1604.407	1.407	17.213	0.247	-0.364	-0.593	1.411	-0.119	0.752	0.001	
reproduction_rate	-168045.692	6660.170	5718.082	2915.980	53.026	33.131	-3232.915	74.006	64.052	-24.515	0.459	0.226	77.120	1.817	544.099	17.381	1.845	0.003	46.153	1.814	23115.168	874753.257	23.770	0.183	23401.800	0.188	0.000	-5.780	-858931.125	-506360.643	-124976.428	-35499.635	-38113.003	-1.011	-0.639	-0.189	-435.076	55.126	-478976279.176	-103.550	-3.386	-2.874	-2.192	-8784.600	8.150	87.752	0.847	-2.103	-3.070	8.890	-0.532	4.914	0.008	
icu_patients	5081.363	37.522	37.854	101.012	0.765	0.747	62.151	0.532	0.535	1.052	0.010	0.009	0.000	0.025	6.089	0.221	0.018	0.001	0.316	0.015	101.495	16966.825	0.582	0.004	111.328	0.004	0.000	0.000	928.785	603.331	75.377	56.991	63.974	0.001	0.001	0.000	0.834	0.091	-974543.075	-0.307	-0.008	-0.006	-0.004	-18.650	0.017	0.197	0.003	-0.004	-0.007	0.017	-0.001	0.009	0.000	
icu_patients_per_million	196416.231	1479.486	1489.615	3797.581	28.358	27.495	2395.530	21.534	21.666	39.508	0.374	0.362	0.015	38.095	234.991	8.888	0.810	0.063	14.226	0.655	3884.311	660159.120	22.429	0.153	4268.466	0.161	0.000	-1.818	32632.889	21503.684	2505.557	2010.981	2309.270	0.042	0.030	0.004	30.067	2.790	-31456400.260	-10.005	-0.264	-0.194	-0.146	-607.630	0.533	6.491	0.092	-0.137	-0.231	0.550	-0.045	0.298	0.000	
hosp_patients	885.706	6.631	6.671	17.736	0.126	0.122	10.796	0.093	0.094	0.183	0.002	0.002	0.000	0.159	0.004	0.037	0.003	0.000	0.051	0.002	18.117	2973.570	0.102	0.001	19.825	0.001	0.000	0.000	152.259	99.432	12.067	9.386	10.632	0.000	0.000	0.000	0.138	0.012	-153300.750	-0.049	-0.001	-0.001	-0.001	-2.973	0.003	0.031	0.000	-0.001	-0.001	0.003	-0.000	0.001	0.000	
hosp_patients_per_million	24096.779	180.449	181.605	472.579	3.119	3.042	292.400	2.568	2.585	4.855	0.042	0.041	0.002	4.001	0.105	25.659	0.085	0.007	1.486	0.074	483.422	80964.588	2.746	0.018	532.003	0.019	0.000	-0.185	3629.430	2401.884	268.538	226.362	263.411	0.005	0.003	0.000	3.413	0.186	-3061035.154	-0.997	-0.027	-0.020	-0.015	-61.313	0.053	0.659	0.010	-0.014	-0.023	0.055	-0.005	0.029	0.000	
weekly_icu_admissions	10919.085	36.412	82.692	210.791	-0.383	1.367	130.651	0.418	1.223	2.138	0.003	0.019	0.001	1.635	0.048	10.078	0.431	0.060	16.557	0.648	54.840	42699.164	1.315	0.001	250.025	0.009	0.000	-0.277	2034.334	1294.189	195.576	33.482	136.460	0.002	0.001	0.000	1.754	0.149	-2160238.252	-0.579	-0.014	-0.011	-0.009	-35.456	0.030	0.412	0.006	-0.007	-0.013	0.037	-0.002	0.023	0.000	
weekly_icu_admissions_per_million	265612.202	1037.587	1830.127	5212.346	1.113	30.245	3195.934	12.381	26.051	53.351	0.142	0.400	0.000	33.128	0.927	211.457	8.983	14.897	244.352	10.210	2258.428	970606.054	30.735	0.071	5659.007	0.216	0.000	-2.746	62639.987	39270.953	6639.763	1716.359	3910.670	0.071	0.045	0.010	49.297	1.133	-30620182.253	-9.455	-0.255	-0.186	-0.140	-584.999	0.503	6.497	0.098	-0.129	-0.219	0.541	-0.043	0.297	0.000	
weekly_hosp_admissions	604.977	2.345	5.070	11.714	-0.021	0.081	7.234	0.028	0.075	0.117	0.000	0.001	0.000	0.102	0.003	0.628	0.026	0.059	0.003	0.039	3.559	2410.120	0.074	0.000	14.792	0.001	0.000	-0.015	66.389	44.129	4.378	0.250	5.316	0.000	0.000	0.000	0.072	0.010	-126752.495	-0.035	-0.001	-0.001	-0.001	-2.131	0.002	0.024	0.000	-0.000	-0.001	0.002	-0.000	0.001	0.000	
